 ,OTT Name,Study ID,url
No.1,Apteryx australis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.2,Apteryx australis,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.3,Apteryx australis,pg_2800,https://tree.opentreeoflife.org/curator/study/view/pg_2800
No.4,Apteryx australis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.5,Apteryx australis,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.6,Apteryx australis,pg_2580,https://tree.opentreeoflife.org/curator/study/view/pg_2580
No.7,Apteryx australis,ot_500,https://tree.opentreeoflife.org/curator/study/view/ot_500
No.8,Apteryx australis,ot_1044,https://tree.opentreeoflife.org/curator/study/view/ot_1044
No.9,Apteryx australis,ot_1055,https://tree.opentreeoflife.org/curator/study/view/ot_1055
No.10,Apteryx australis,ot_999,https://tree.opentreeoflife.org/curator/study/view/ot_999
No.11,Apteryx australis,ot_798,https://tree.opentreeoflife.org/curator/study/view/ot_798
No.12,Apteryx australis,pg_2926,https://tree.opentreeoflife.org/curator/study/view/pg_2926
No.13,Apteryx australis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.14,Apteryx australis,ot_2083,https://tree.opentreeoflife.org/curator/study/view/ot_2083
No.15,Apteryx australis,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.16,Apteryx australis,ot_784,https://tree.opentreeoflife.org/curator/study/view/ot_784
No.17,Apteryx australis,ot_2072,https://tree.opentreeoflife.org/curator/study/view/ot_2072
No.18,Apteryx australis,pg_2876,https://tree.opentreeoflife.org/curator/study/view/pg_2876
No.19,Apteryx australis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.20,Apteryx australis,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.21,Apteryx australis,ot_531,https://tree.opentreeoflife.org/curator/study/view/ot_531
No.22,Apteryx australis australis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.23,Apteryx mantelli,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.24,Apteryx australis mantelli,ot_500,https://tree.opentreeoflife.org/curator/study/view/ot_500
No.25,Apteryx australis mantelli,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.26,Apteryx australis mantelli,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.27,Apteryx australis mantelli,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.28,Apteryx australis mantelli,ot_1044,https://tree.opentreeoflife.org/curator/study/view/ot_1044
No.29,Apteryx australis mantelli,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.30,Apteryx australis mantelli,pg_2926,https://tree.opentreeoflife.org/curator/study/view/pg_2926
No.31,Apteryx australis mantelli,ot_2083,https://tree.opentreeoflife.org/curator/study/view/ot_2083
No.32,Spatula cyanoptera,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.33,Anas cyanoptera cyanoptera,pg_2860,https://tree.opentreeoflife.org/curator/study/view/pg_2860
No.34,Anas cyanoptera cyanoptera,pg_2866,https://tree.opentreeoflife.org/curator/study/view/pg_2866
No.35,Anas andium,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.36,Anas flavirostris andium,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.37,Anas flavirostris andium,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.38,Anas flavirostris,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.39,Anas flavirostris,pg_2860,https://tree.opentreeoflife.org/curator/study/view/pg_2860
No.40,Anas flavirostris,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.41,Anas flavirostris,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
