CLO name,OTT name,OTT parent
Apteryx australis , Apteryx australis australis ,241834
Apteryx mantelli , Apteryx australis mantelli ,241834
Spatula cyanoptera , Anas cyanoptera cyanoptera ,82411
Anas andium , Anas flavirostris andium ,82417
Anas flavirostris , Anas flavirostris flavirostris ,82417
Bambusicola thoracicus , Bambusicola thoracicus thoracicus ,521334
Bambusicola sonorivox , Bambusicola thoracicus sonorivox ,521334
Pternistis castaneicollis , Francolinus castaneicollis castaneicollis ,1080982
Pternistis atrifrons , Francolinus castaneicollis atrifrons ,1080982
Chaetura andrei , Chaetura andrei andrei ,994341
Chaetura meridionalis , Chaetura andrei meridionalis ,994341
Phaethornis longirostris , Phaethornis longirostris longirostris ,975184
Phaethornis mexicanus , Phaethornis longirostris mexicanus ,975184
Gallinula nesiotis , Gallinula nesiotis nesiotis ,385131
Gallinula comeri , Gallinula nesiotis comeri ,385131
Himantopus himantopus , Himantopus himantopus himantopus ,364171
Himantopus leucocephalus , Himantopus himantopus leucocephalus ,364171
Haematopus chathamensis , Haematopus unicolor chathamensis ,80079
Haematopus unicolor , Haematopus unicolor unicolor ,80079
Rostratula benghalensis , Rostratula benghalensis benghalensis ,5276
Rostratula australis , Rostratula benghalensis australis ,5276
Coenocorypha huegeli , Coenocorypha aucklandica huegeli ,180482
Coenocorypha aucklandica , Coenocorypha aucklandica aucklandica ,180482
Thalasseus maximus , Thalasseus maximus maximus ,1073497
Thalasseus albididorsalis , Thalasseus maximus albididorsalis ,1073497
Pterodroma macroptera , Pterodroma macroptera macroptera ,271032
Pterodroma gouldi , Pterodroma macroptera gouldi ,271032
Buteo oreophilus , Buteo oreophilus oreophilus ,108771
Buteo trizonatus , Buteo oreophilus trizonatus ,108771
Otus pamelae , Otus senegalensis pamelae ,277291
Otus scops , Otus scops scops ,921080
Otus cyprius , Otus scops cyprius ,921080
Otus senegalensis , Otus senegalensis senegalensis ,277291
Strix aluco , Strix aluco aluco ,116522
Strix mauritanica , Strix aluco mauritanica ,116522
Strix varia , Strix varia varia ,509065
Strix sartorii , Strix varia sartorii ,509065
Ninox boobook , Ninox boobook boobook ,475893
Ninox rotiensis , Ninox boobook rotiensis ,475893
Ninox fusca , Ninox boobook fusca ,475893
Merops nubicus , Merops nubicus nubicus ,989087
Merops nubicoides , Merops nubicus nubicoides ,989087
Chrysocolaptes strictus , Chrysocolaptes lucidus strictus ,724186
Chrysocolaptes haematribon , Chrysocolaptes lucidus haematribon ,724186
Chrysocolaptes xanthocephalus , Chrysocolaptes lucidus xanthocephalus ,724186
Chrysocolaptes lucidus , Chrysocolaptes lucidus lucidus ,724186
Saudareos meyeri , Trichoglossus flavoviridis meyeri ,3600300
Saudareos flavoviridis , Trichoglossus flavoviridis flavoviridis ,3600300
Poicephalus fuscicollis , Poicephalus robustus fuscicollis ,634388
Poicephalus robustus , Poicephalus robustus robustus ,634388
Forpus spengeli , Forpus xanthopterygius spengeli ,267637
Forpus xanthopterygius , Forpus xanthopterygius xanthopterygius ,267637
Erythropitta erythrogaster , Erythropitta erythrogaster erythrogaster ,3598672
Erythropitta caeruleitorques , Erythropitta erythrogaster caeruleitorques ,3598672
Erythropitta palliceps , Erythropitta erythrogaster palliceps ,3598672
Erythropitta celebensis , Erythropitta erythrogaster celebensis ,3598672
Erythropitta rufiventris , Erythropitta erythrogaster rufiventris ,3598672
Erythropitta rubrinucha , Erythropitta erythrogaster rubrinucha ,3598672
Erythropitta macklotii , Erythropitta erythrogaster macklotii ,3598672
Erythropitta novaehibernicae , Erythropitta erythrogaster novaehibernicae ,3598672
Erythropitta splendida , Erythropitta erythrogaster splendida ,3598672
Erythropitta gazellae , Erythropitta erythrogaster gazellae ,3598672
Erythropitta meeki , Erythropitta erythrogaster meeki ,3598672
Hafferia zeledoni , Myrmeciza immaculata zeledoni ,515434
Hafferia immaculata , Myrmeciza immaculata immaculata ,515434
Hylopezus macularius , Hylopezus macularius macularius ,227756
Hylopezus paraensis , Hylopezus macularius paraensis ,227756
Xiphorhynchus atlanticus , Xiphorhynchus fuscus atlanticus ,359053
Xiphorhynchus fuscus , Xiphorhynchus fuscus fuscus ,359053
Asthenes ayacuchensis , Asthenes vilcabambae ayacuchensis ,835367
Asthenes vilcabambae , Asthenes vilcabambae vilcabambae ,835367
Zimmerius vilissimus , Zimmerius vilissimus vilissimus ,937184
Zimmerius parvus , Zimmerius vilissimus parvus ,937184
Zimmerius improbus , Zimmerius improbus improbus ,5560067
Zimmerius petersi , Zimmerius improbus petersi ,5560067
Malurus assimilis , Malurus lamberti assimilis ,138665
Malurus lamberti , Malurus lamberti lamberti ,138665
Microptilotis gracilis , Meliphaga gracilis gracilis ,196942
